,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips,Rating
58,Jubilee Square,Plaza,2,-34.193203597618705,18.43325841187448,4d1b45f35acb721ed0f30cb2,Simons Town,6,1,6.9
59,Shell,Gas Station,458,-34.19273559,18.42831778,50211180e4b05f2aebf5b7c4,Simons Town,0,0,6.2
60,False Bay Yacht Club,Harbor / Marina,111,-34.19238550544632,18.434002963488734,4cd1a4bb5b5ca35da3bf82f0,Simons Town,6,3,No Rating Yet
61,Heather Auer Art & Sculpture,Art Gallery,74,-34.19284864566948,18.43256950378418,4c5bc21799ff76b0bbd4a69e,Simons Town,2,7,No Rating Yet
62,Simon's Town Musem,History Museum,593,-34.191082628639904,18.427344560623172,4d6f831327316ea873ecb0aa,Simons Town,0,0,No Rating Yet
63,Long Beach,Beach,930,-34.187365515146915,18.426002242282127,4d7778709ee9a35d66dfb2f8,Simons Town,3,3,No Rating Yet
64,Woolworths,Supermarket,161,-34.04299074269613,18.357395657275863,4cd81d427d454688bafae9ed,Hout Bay,25,3,8.5
65,Hout Bay Beach,Beach,514,-34.04618111413202,18.35979558901334,4d170e38816af04d82b64cc2,Hout Bay,46,11,8.5
66,Hout Bay Craft Market,Arts & Crafts Store,450,-34.0424896920421,18.360471725463867,4ba5e990f964a520f32839e3,Hout Bay,6,6,7.8
67,Mariner's Wharf,Harbor / Marina,825,-34.047480792528894,18.34842972434071,4d1477cbbb488cfaed3097d4,Hout Bay,124,44,8.4
68,Hout Bay Spar,Supermarket,563,-34.0405,18.3504,4ce7a966595cb1f722ebc314,Hout Bay,15,0,7.1
69,Mainstream Shopping Centre,Shopping Mall,375,-34.045605910509536,18.35835954923283,4bb60ad846d4a5933098c5c0,Hout Bay,4,2,6.6
70,Delish Houtbay,Bistro,503,-34.045546,18.360227,537c8b32498ee27a2f7b1624,Hout Bay,5,1,6.5
71,Checkers,Grocery Store,352,-34.044466272212354,18.359082887720138,4e60769652b1260c1241f62a,Hout Bay,0,1,No Rating Yet
72,Green Point Urban Park,Park,375,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Green Point,109,36,9.0
