,postalCode,name,distance,categories,lat,lng,id,City,Neighborhood
44,,Pick n Pay Hypermarket,4611,Shopping Mall,-33.883470291100515,18.68676670197481,4cbab08ebac93704636fed7c,Cape Town,Bellville
45,7551,Eat@Altydgedacht,4202,Restaurant,-33.847325908631674,18.624847393741074,4d1dc5e4f7a9a143cc2a139f,Cape Town,Bellville
46,,Ke Monate Restaurant,7455,Tapas Restaurant,-33.82026274508434,18.61112289388409,4df3b5bed22d8c5470ded047,Cape Town,Bellville
47,,Alberto's Restaurant and Pub,6466,Restaurant,-33.82647111693134,18.64860625666377,4be9a0a8a9900f479f8d1540,Cape Town,Bellville
48,,Die Boer,6093,Music Venue,-33.830183572547405,18.6505284571695,4c1b5218013795210ddb46f3,Cape Town,Bellville
49,,Checkers,1842,Grocery Store,-33.86784230906674,18.631309359614175,4c7cf12faa3ba093c0faab74,Cape Town,Bellville
50,,Greens,6320,Italian Restaurant,-33.86508531544863,18.57228084634829,4cd514f794848cfa1810e4b1,Cape Town,Bellville
51,,D'Aria Wine Farm,5343,Winery,-33.841377373098695,18.609662131179853,4c5ff1df12e5c92872fd1d4c,Cape Town,Bellville
52,7560,Panda's Chinese Restaurant & Takeaway,7072,Chinese Restaurant,-33.883005376249976,18.71339979497272,4c56f7827329c928f1bd8d80,Cape Town,Bellville
53,,Yang yangs,2409,Chinese Restaurant,-33.882451720499006,18.662901767670377,4dd69e367d8b322663db5ac3,Cape Town,Bellville
54,,Ocean Basket Glen Garry,4310,Seafood Restaurant,-33.857484402592135,18.671161490355473,4d0f8b9bd467236a46bdbe4a,Cape Town,Bellville
55,,Burger King,1274,Fast Food Restaurant,-33.8725596386889,18.633881763727175,51bb5519498e92fc734b7166,Cape Town,Bellville
56,,Durbanville Hills Wine Estate,9316,Vineyard,-33.824714047473826,18.565417553766203,4be7bfe7e1b39521f22121c1,Cape Town,Bellville
57,,D's Speakeasy,5813,Pub,-33.83209368358392,18.646245724366526,4f0d6c0de4b01660dc7720d1,Cape Town,Bellville
58,7550,Sonstraal Spar,6360,Department Store,-33.83644834721606,18.67549288424508,4ba266dcf964a5203ff537e3,Cape Town,Bellville
59,,Stodels Nursery,2862,Flower Shop,-33.87330488198107,18.665180904242263,4bb89d56b35776b0c709c901,Cape Town,Bellville
60,,Plattekloof Hill,4870,Scenic Lookout,-33.88478598775065,18.584178742919338,4c4c6a7f712ac92874a64d6e,Cape Town,Bellville
61,7460,Texas Spur,7183,Steakhouse,-33.891906277329525,18.559759997712167,4d11d2d6f6f3721e71ac96e9,Cape Town,Bellville
62,7550,Vida e café,6007,Café,-33.83064109948833,18.6485429499513,54a8ff61498ea66986616438,Cape Town,Bellville
63,7551,Meerendal Wine Estate,9508,Vineyard,-33.79892468879846,18.6246427901898,4cd54631122ba143e5d32aa1,Cape Town,Bellville
64,,Woolworths Palm Grove,5652,Grocery Store,-33.83378313206032,18.647833639496014,4be1a45542e8c928fa783406,Cape Town,Bellville
65,7460,Fruit & Veg City Food Lover's Market,7501,Fruit & Vegetable Store,-33.89172124,18.55626222,4d3173dc98336dcbbc5118f0,Cape Town,Bellville
66,7500,Nando's,6395,Portuguese Restaurant,-33.8653561,18.5713068,4e08c3b114959022c89e7f19,Cape Town,Bellville
67,7500,Cattle Baron Grill House,5505,Steakhouse,-33.87438415378863,18.578369278223168,4c9b9f1e78ffa0933acf7675,Cape Town,Bellville
68,7551,SPAR,5617,Supermarket,-33.83348749,18.63121193,4c7bb25097028cfab98be1fe,Cape Town,Bellville
69,7550,"Ruslamere Guest House, Spa and Conference Centre",6517,Bed & Breakfast,-33.82957873326731,18.663676520312194,4bd74d5b304fce720d5833ab,Cape Town,Bellville
70,7580,Zevenwacht Wine Estate,9828,Winery,-33.93019289414788,18.72733421495576,4b739659f964a52013b52de3,Cape Town,Bellville
71,,Sir Loin,6429,Steakhouse,-33.85073803372924,18.69395837879709,54bf7da7498ec4a8eb923636,Cape Town,Bellville
72,,The Hussar Grill,9017,Steakhouse,-33.91821399638579,18.548555093962158,567192bd498e3c1adca10f4c,Cape Town,Bellville
73,,Bossa Nova,6152,American Restaurant,-33.82946538513488,18.64949452333092,4d6bccaa87b9548100cdc5dd,Cape Town,Bellville
74,,Makro,6597,Warehouse Store,-33.84838903943432,18.694167944790212,4fc8b163e4b03a05d4a5d3b7,Cape Town,Bellville
