,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips
48,Craft Market & Wellness Centre,Arts & Crafts Store,983,-33.90689790483063,18.41852038945906,4cdc05d5c409b60cd211d81a,Atlantic Seaboard,21,3
49,ZAR,Nightclub,363,-33.90873356475382,18.41219281698066,4d699c05de28224bb48545be,Atlantic Seaboard,2,10
50,Parkrun Greenpoint,Athletics & Sports,376,-33.90682623948012,18.406750277013906,52c7a17611d24f384e8bceda,Atlantic Seaboard,2,0
51,Green Point Cricket Club,Athletics & Sports,609,-33.90445171969265,18.407642728229987,51c1c45d498e1c8d7fa9d4f4,Atlantic Seaboard,1,0
52,Greenpoint Tennis Club,Tennis Court,757,-33.9065244270183,18.40137243867734,4f27a86ee4b052a5c81715d0,Atlantic Seaboard,1,0
53,Goodwood Mall,Shopping Mall,747,-33.91261875856669,18.545420350441663,4c7d1f353e90a1cdb75544be,Goodwood,2,2
54,Magic Bowling,Bowling Alley,747,-33.91262854167082,18.545443964393613,4d84a21c5ad3a0935027d3fd,Goodwood,4,0
55,Zakspeed,Electronics Store,811,-33.91316769117756,18.54519467465198,4c9dab0e03133704e65b61d5,Goodwood,2,0
56,Estoril Superette,Convenience Store,966,-33.91097336550683,18.55825653210806,4daacf3943a11281970097cb,Goodwood,0,0
57,Pick n Pay Goodwood Mall,Grocery Store,969,-33.910901545631376,18.539994414479533,4d8b409d26a36ea8b9d204ae,Goodwood,1,0
58,Jubilee Square,Plaza,2,-34.193203597618705,18.433258411874476,4d1b45f35acb721ed0f30cb2,Simons Town,6,1
59,Shell,Gas Station,458,-34.19273559,18.42831778,50211180e4b05f2aebf5b7c4,Simons Town,0,0
60,False Bay Yacht Club,Harbor / Marina,111,-34.19238550544632,18.434002963488737,4cd1a4bb5b5ca35da3bf82f0,Simons Town,6,3
61,Heather Auer Art & Sculpture,Art Gallery,74,-34.19284864566948,18.43256950378418,4c5bc21799ff76b0bbd4a69e,Simons Town,2,7
62,Simon's Town Musem,History Museum,593,-34.19108262863991,18.42734456062317,4d6f831327316ea873ecb0aa,Simons Town,0,0
63,Long Beach,Beach,930,-34.187365515146915,18.42600224228213,4d7778709ee9a35d66dfb2f8,Simons Town,3,3
64,Woolworths,Supermarket,161,-34.042990742696134,18.357395657275866,4cd81d427d454688bafae9ed,Hout Bay,25,3
65,Hout Bay Beach,Beach,514,-34.04618111413202,18.359795589013345,4d170e38816af04d82b64cc2,Hout Bay,46,11
66,Hout Bay Craft Market,Arts & Crafts Store,450,-34.0424896920421,18.360471725463867,4ba5e990f964a520f32839e3,Hout Bay,6,6
67,Mariner's Wharf,Harbor / Marina,825,-34.04748079252889,18.34842972434071,4d1477cbbb488cfaed3097d4,Hout Bay,124,44
68,Hout Bay Spar,Supermarket,563,-34.0405,18.3504,4ce7a966595cb1f722ebc314,Hout Bay,15,0
69,Mainstream Shopping Centre,Shopping Mall,375,-34.04560591050954,18.35835954923283,4bb60ad846d4a5933098c5c0,Hout Bay,4,2
70,Delish Houtbay,Bistro,503,-34.045546,18.360227,537c8b32498ee27a2f7b1624,Hout Bay,5,1
71,Checkers,Grocery Store,352,-34.04446627221235,18.359082887720138,4e60769652b1260c1241f62a,Hout Bay,0,1
72,Green Point Urban Park,Park,375,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Green Point,109,36
73,Virgin Active Health Club,Gym,361,-33.906337731286655,18.402970923638314,4b4c2b05f964a52025af26e3,Green Point,103,26
74,Cape Town Stadium,Stadium,467,-33.90407810101296,18.411027109916294,4c049d8d302295213dc9de81,Green Point,199,41
75,Mouille Point Promenade,Pedestrian Plaza,561,-33.89955805483817,18.403773307800293,4e1db702922e8d173063b3c3,Green Point,49,6
76,Green Point Lighthouse,Lighthouse,641,-33.90140139307377,18.399943113327026,4c2da6ffe307d13ac02f0eda,Green Point,50,9
77,Oranjezicht Farmers Market,Farmers Market,870,-33.90233055631417,18.41509794227067,557c0711498edbe4da8f6b7a,Green Point,64,12
78,Cape Point Lighthouse,Lighthouse,825,-33.9090503289127,18.412788856138288,5475e1cc498e6bd4fc31f250,Green Point,9,0
79,Woolworths Food,Grocery Store,857,-33.90916667623318,18.413117552112976,4c0a20216071a593b00edf32,Green Point,37,14
80,Sea Point Promenade Park,Playground,930,-33.90657596779252,18.396296022745315,4c3490563ffc95210de790f5,Green Point,14,4
81,Metropolitan Golf Club,Golf Course,470,-33.90079437387031,18.408888909672847,4e242109d164740632208f85,Green Point,8,2
82,Casa Blanca Night Club,Nightclub,880,-33.90785128623892,18.414458531192704,4efa38e777c8e88f4a2fb5a8,Green Point,7,0
83,Mano's,Gastropub,879,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Green Point,25,25
84,Clicks,Pharmacy,924,-33.90833084448987,18.397243208999466,4c8cf460f0ce236a877d1cef,Green Point,11,2
85,Jade,Nightclub,880,-33.909467050957275,18.413132165910124,4bca16c4511f95211e00afc7,Green Point,15,5
86,Woolworths,Grocery Store,999,-33.908855035803676,18.396678489796905,4c8cc62dc37a6dcb9912fa7a,Green Point,5,3
87,Newport Deli,Sandwich Place,572,-33.90190553604957,18.400456244311137,4ba60cb1f964a520353039e3,Green Point,9,7
88,Putt Putt,Golf Course,725,-33.90471813929748,18.39813127555431,4badfe34f964a520d1783be3,Green Point,5,6
89,Green Point Cricket Club,Athletics & Sports,156,-33.90445171969265,18.407642728229987,51c1c45d498e1c8d7fa9d4f4,Green Point,1,0
90,Parkrun Greenpoint,Athletics & Sports,294,-33.90682623948012,18.406750277013906,52c7a17611d24f384e8bceda,Green Point,2,0
91,Green Point Adventure Play Park,Park,382,-33.9049,18.4019,55c5da2b498e17a6c59bd016,Green Point,4,1
92,5s futbol,Soccer Field,400,-33.900848,18.407366,4d8371155ad3a0936e95bafd,Green Point,0,0
93,Yemaya Spa and Hair,Spa,477,-33.90083285380021,18.40285017674286,4bdaf0baa8d976b0ee920cb5,Green Point,3,4
94,ZAR,Nightclub,760,-33.90873356475382,18.41219281698066,4d699c05de28224bb48545be,Green Point,2,10
95,Groot Constantia,Vineyard,820,-34.02717850143701,18.42433830632882,4ba721b1f964a5204b8239e3,Constantia,212,45
96,Constantia Uitsig Wine Farm,Winery,778,-34.027325091779645,18.423910088816413,4cc95701bfe1f04d13280d75,Constantia,5,3
97,The Ice Station,Skate Shop,541,-33.99642,18.70148,5d14b82d12f1720023593a93,Blue Downs,0,0
98,BP,Gas Station,668,-34.00147,18.69048,55cd09ab498ebb16372dfbf0,Blue Downs,0,0
99,Eersterivier,River,846,-34.00182548303509,18.706399145400297,4c682d427963be9a98b2ccbc,Blue Downs,3,0
100,China Town - Shoprite Park,Shopping Mall,748,-33.90705362114536,18.59289913643247,4f968fe2e4b0e1b63553153f,Parow,9,3
101,Century Superspar,Grocery Store,327,-33.90530829,18.58799458,4d5ffaa19f67f04daf2273fb,Parow,5,0
102,Nuvoice Telecom,Business Service,478,-33.89905,18.58385999999996,5c5316f22b9844002c61d616,Parow,0,0
103,Avondale Train Station,Train Station,745,-33.89771812983607,18.592595663099143,4fa9ff1fe4b0956aefcf5e5d,Parow,0,0
104,Bidvest McCarthy VW Parow,Automotive Shop,783,-33.90498558,18.59487904,4e3f7a8d62e19d6109895f9b,Parow,0,0
105,KWIKSPAR De Tyger,Supermarket,809,-33.89585,18.59048,4dce5b92183899ddfacfc8ba,Parow,0,0
106,Ajax Cape Town,Soccer Field,848,-33.896328274612706,18.5815464314535,4daee88e8154d1d4886ffb42,Parow,1,0
107,Engen Tierberg Service Convenience Centre,Gas Station,889,-33.90183641,18.59653386,4e4f54f318a8af30fd841d21,Parow,0,0
108,Parow Athletics Track,Athletics & Sports,903,-33.894642730232775,18.584474444305556,4e02010662843b639cfd38e2,Parow,2,1
109,Woolworths Palm Grove,Grocery Store,738,-33.83378313206032,18.647833639496014,4be1a45542e8c928fa783406,Durbanville,7,1
110,Virgin Active Health Club,Gym,992,-33.831549399923496,18.64723235867574,4d13181affa1224b3ff59dad,Durbanville,7,4
111,Sunrise Beach,Beach,667,-34.10337168015757,18.48189815610369,4e0b3e9acc3f0e8737cad9f0,Muizenberg,17,1
112,Muizenberg Flea Market,Flea Market,694,-34.102981917653054,18.48040848620249,4ba5ec1ef964a520692939e3,Muizenberg,10,7
113,Engen Eastlake Motors,Gas Station,452,-34.09730067,18.47978618,59ef2fc48134887560ce4007,Muizenberg,0,0
