,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
29,openwine,455,Wine Bar,-33.922128,18.416443,57d97be6498e4f64864d4d99,City Bowl,10
30,The Company's Garden,488,Park,-33.92661508536071,18.417030992890194,4b615fb6f964a52064112ae3,City Bowl,211
31,Masala Dosa,379,Indian Restaurant,-33.92437800442552,18.416960207400003,4c6280be4be3b713ef6edce8,City Bowl,23
32,New York Bagel,573,Bagel Shop,-33.92812216330304,18.42418736238842,54350aca498e511cba960528,City Bowl,39
33,Grub & Vine,356,Restaurant,-33.92139,18.41833,5bbe012951950e002c26ff58,City Bowl,4
34,Headquarters,465,Steakhouse,-33.920419243555834,18.417882249456348,4cf68a9a0a71224bc99b1e93,City Bowl,55
35,Oumeul Bakkery,485,Bakery,-33.91949158050347,18.422351095220215,5048698de4b0e55a96415624,City Bowl,46
36,Giulios,534,Café,-33.918959,18.421861,56273b5a498ecd4ca37c123d,City Bowl,26
37,Jason Bakery,611,Bakery,-33.92453842563379,18.414449223651683,4d9580ed454edcb39969b76a,City Bowl,181
38,The Book Lounge,626,Bookstore,-33.92930614229909,18.42168843738291,4b9e4a4cf964a5209dd736e3,City Bowl,38
39,Charango,396,Restaurant,-33.92200831754915,18.41721519269555,55956ea8498eb48bebf7f563,City Bowl,31
40,Bocca,427,Italian Restaurant,-33.922334,18.416673,54524d47498efb7913d525c0,City Bowl,63
41,Villa 47,502,Italian Restaurant,-33.91922566759333,18.420307027825377,56f432f6498e1dd7c13576ce,City Bowl,68
42,Skinny laMinx,653,Furniture / Home Store,-33.924987260907464,18.4140944480896,502c9a5d067d5b50e0ba9eb8,City Bowl,39
43,Hemelhuijs,583,Café,-33.918540387172335,18.419910904186317,4cc07273575d236a34b7c48e,City Bowl,120
44,Lola's Café,607,Café,-33.926067281776994,18.415058766227723,4b586bc7f964a520f85628e3,City Bowl,84
45,BEERHOUSE,491,Gastropub,-33.925399,18.416083,50c897e7e4b0cd965f396404,City Bowl,278
46,Royale Eatery,639,Burger Joint,-33.926424995293054,18.414893746376038,4b5b0a2ef964a5204ee028e3,City Bowl,191
47,Stayeasy,470,Hotel,-33.91953,18.4202,5997495e31ac6c1f3bc8ba3c,City Bowl,8
48,Kamili Coffee,579,Café,-33.9281946457506,18.424161378704827,5815c9ba38faca7f0edac13e,City Bowl,7
49,Folk Coffee Anthropology,696,Coffee Shop,-33.91753472270826,18.422234815093752,56a92621498ec39c6d1af9f9,City Bowl,17
50,Hank's Olde Irish,517,Irish Pub,-33.922206545387446,18.41569228011148,56c89511498e4096144c4c14,City Bowl,8
51,169 Long Street,526,Hookah Bar,-33.92550201883122,18.41572433527407,4eff47ac0aaffcf6f3ea1a90,City Bowl,6
52,Lefty's,650,BBQ Joint,-33.92932934700474,18.422901665223577,528facac498e0501256c6c95,City Bowl,54
53,Origin Coffee Roasting,791,Coffee Shop,-33.91716850036462,18.417625794294572,4b66dc61f964a520bf2d2be3,City Bowl,261
54,Batavia,594,Café,-33.920753,18.415625,569cc72a498ef7c41842e4f4,City Bowl,8
55,South African National Art Gallery,686,Art Museum,-33.928928986628925,18.417033205657393,4b615e77f964a52043112ae3,City Bowl,41
56,The General Store,607,Café,-33.918252507310086,18.42131374992924,5608ed91498e663eb282f805,City Bowl,5
57,South African Jewish Museum,799,Museum,-33.930045526221825,18.41691624588754,4b657e01f964a52046f22ae3,City Bowl,12
58,Loading Bay,780,Restaurant,-33.91731728366644,18.417514705527676,4b5ae1b9f964a5209fd828e3,City Bowl,75
59,Bacon on Bree,720,Breakfast Spot,-33.92551572015049,18.41349967216239,55389934498e67b884f39cf2,City Bowl,34
60,San Julian Taco & Tequila,668,Mexican Restaurant,-33.91801746757688,18.41866140919453,4c1a77d7624b9c74ab6e1204,City Bowl,26
61,Artscape Theatre,896,Theater,-33.919537048903365,18.429297381456607,4b5342ebf964a520b69427e3,City Bowl,139
62,Active Sushi,772,Sushi Restaurant,-33.91740824798725,18.4174869406985,559c4dee498ee5bd5a9efe16,City Bowl,21
63,The Odyssey,648,Gastropub,-33.92491677354826,18.41413055432759,51a60085498eabc8e6518c7c,City Bowl,33
64,Fiction,597,Nightclub,-33.92603811545564,18.41516371671867,4b2434daf964a520b46324e3,City Bowl,55
65,"Food Lovers, The Towers",780,Food Court,-33.91945851147964,18.427718198510565,565c25fa498e1d3da85ed493,City Bowl,21
66,Atlas Trading,579,Food & Drink Shop,-33.921432063385176,18.415350358640882,4d25c78bbcc1224b43bf931b,City Bowl,7
67,Kloof Street House,960,African Restaurant,-33.92830450158452,18.412193932450084,54a88b5c498e72e47a96233f,City Bowl,340
68,South China Dim Sum Bar,674,Dim Sum Restaurant,-33.92658573204059,18.414567688170095,4ef9a9de8b81ef98d295e1a7,City Bowl,32
69,"Seattle Coffee, The Towers",779,Coffee Shop,-33.919565151029474,18.42779236125447,565d37ef498e7ec1b1844dd8,City Bowl,8
70,Lindt Chocolate Studio,870,Dessert Shop,-33.91635811808607,18.4177782882725,4d6257e85b276dcbe6332ec6,City Bowl,12
71,Harvest Cafe,614,Café,-33.921241,18.415036,5a17b67ac9f9072c9ad13574,City Bowl,13
72,Unframed Ice Cream,995,Ice Cream Shop,-33.928688015760294,18.41204556956696,57a20081498ee7342127f5a5,City Bowl,29
73,The Station on Bree,693,Cocktail Bar,-33.925319,18.413736,583873cef229952c8deb00e2,City Bowl,11
74,Dias Tavern,578,Portuguese Restaurant,-33.927738688230065,18.424937604761872,4b72c7adf964a52041882de3,City Bowl,54
75,African Pride 15 On Orange Hotel,836,Hotel,-33.928587,18.414108,4f1018fc00392d01a694e577,City Bowl,41
76,Sea Breeze,706,Seafood Restaurant,-33.92534801566513,18.413609372346354,594e4669c4df1d7f6c47400d,City Bowl,18
77,iziko South African Museum,761,Museum,-33.92865594887876,18.415298293041335,4f439830e4b0dc6d5d89dd2d,City Bowl,65
78,Roxy's Café,969,Pub,-33.931779428525026,18.41706455105335,4d31e8a1f8c9224b88baabd2,City Bowl,41
79,GROUND art caffe,820,Café,-33.917184519560436,18.41686286724883,580dc038d67c5d1952d9ba29,City Bowl,7
80,Molten Toffee,984,Café,-33.928605951557095,18.41212333031075,544a7302498e92c459bb4a90,City Bowl,35
81,The Yard,976,Burger Joint,-33.93235763040626,18.41924021763723,5049decbd63eaea07a7701d2,City Bowl,133
82,Spar,966,Supermarket,-33.91537412,18.41805674,4bf7e2078d30d13a70a4ff17,City Bowl,79
83,Sababa Kitchen and Deli,774,Deli / Bodega,-33.92591032311136,18.413039656082926,4e785de7ae60e5ae00352787,City Bowl,10
84,Maria's,945,Greek Restaurant,-33.93144188292247,18.416776755493416,4d6cd9cf423d5481d8b3e5b1,City Bowl,41
85,Southern Sun Cullinan,977,Hotel,-33.915510147083936,18.42479695191693,4b77a94ff964a520f8a52ee3,City Bowl,62
86,Haas,480,Coffee Shop,-33.92716344914026,18.42410703046114,5413fdb0498eec6ac4762769,City Bowl,38
87,Mustacchio Caffe,798,Restaurant,-33.92714162782837,18.413407802581787,57a779dd498e1c2e47e9a43d,City Bowl,22
88,Cape CrossFit,993,Gym / Fitness Center,-33.93242626827049,18.418688531352554,4cc6bffc4935bfb792b0d1d8,City Bowl,9
89,City Bowl Market on Hope,948,Food,-33.93181024599284,18.417816850821293,4db2a70e93a073feb21fbd93,City Bowl,22
90,District Six Museum,505,History Museum,-33.927743268712405,18.423503710127804,4bd80bc8dc4b952101407888,City Bowl,89
91,La Petite Tarte,898,Café,-33.916158848541635,18.417538629557846,4b4b20f1f964a520c39226e3,City Bowl,38
92,Cape Town Holocaust Centre,817,Museum,-33.930145582300796,18.41674122777479,4b6564e9f964a52063ef2ae3,City Bowl,11
93,Societi Bistro,946,French Restaurant,-33.92905575502097,18.413027816709768,4bba27f23db7b713cbf8229a,City Bowl,79
94,Buena Vista Social Cafe,623,Cuban Restaurant,-33.926208600967364,18.414953963492234,5485b611498edde70661b91c,City Bowl,18
95,The Piano Bar,987,Piano Bar,-33.915424448475655,18.417155581762422,50a914d4e4b03f2b094fcddb,City Bowl,83
96,Orms Pro Photo,778,Photography Lab,-33.930595451929406,18.422417025973388,4b5ac7a1f964a5204cd428e3,City Bowl,40
97,Harringtons,590,Bar,-33.92836390267279,18.424041823326455,57f79a87498e97194953e8c5,City Bowl,10
98,Minato,573,Sushi Restaurant,-33.9257409103586,18.415285322788296,4bc4db9af8219c74ecfeb710,City Bowl,4
99,Fabric City,898,Fabric Shop,-33.927436545928416,18.429613002500005,4eec47568b81bbbf5bcc36fd,City Bowl,8
0,Giovanni's Deliworld,255,Bakery,-33.90782184808231,18.409727517755517,4b51863af964a520ed4e27e3,Atlantic Seaboard,159
1,Jason Bakery,292,Bakery,-33.90814555679022,18.410891348801574,5a2cf00b35f9833b4ce7d183,Atlantic Seaboard,25
2,Atlantic Point Backpackers Lodge,288,Hotel,-33.90948577917451,18.411593014769956,4d320925c75a6ea8803e0aae,Atlantic Seaboard,15
3,Cabrito,287,Bar,-33.90831531811706,18.410981944139607,520bc1a011d235a4fadfa1ac,Atlantic Seaboard,31
4,Big Route Gourmet Pizzeria,247,Pizza Place,-33.90777064392352,18.409355365419817,500ec06be4b0bfdb6d36afd4,Atlantic Seaboard,50
5,Rocomamas,244,Burger Joint,-33.90775618003158,18.40918560395864,4bae48b1f964a5201d9d3be3,Atlantic Seaboard,49
6,El Burro,281,Mexican Restaurant,-33.90839898887066,18.41097445637066,4d0a3452454c6dcbd26e3d8e,Atlantic Seaboard,144
7,UpperBloem,333,Restaurant,-33.908406,18.411643,5b11ac0467f62b002c41022c,Atlantic Seaboard,6
8,The BIG,86,Hostel,-33.9103,18.40929,5246738611d2ac79d736b01c,Atlantic Seaboard,19
9,nü,427,Juice Bar,-33.90901010449515,18.41301459647644,5412b432498eac1f78dbfcaf,Atlantic Seaboard,25
10,Gelato Mania,310,Ice Cream Shop,-33.90853352619647,18.41144922528626,4c03dc360d0e0f47a518039a,Atlantic Seaboard,34
11,Cape Point Lighthouse,406,Lighthouse,-33.9090503289127,18.412788856138288,5475e1cc498e6bd4fc31f250,Atlantic Seaboard,9
12,Woolworths Food,433,Grocery Store,-33.90916667623318,18.413117552112976,4c0a20216071a593b00edf32,Atlantic Seaboard,37
13,"Sky Bar, Cape Royale",325,Cocktail Bar,-33.909185562008865,18.411927726072136,4b93afb6f964a520f54c34e3,Atlantic Seaboard,21
14,Brenwin Guest House Green Point (South Africa),255,Hotel,-33.910849030902504,18.411012358507147,4be19ace8dd062b5ab693e3c,Atlantic Seaboard,8
15,Cape Royale Hotel,371,Hotel,-33.90880711112639,18.412311777962515,4bae1a28f964a5205a843be3,Atlantic Seaboard,46
